"OWNER","TABLE_NAME","COMMENTS","NUM_ROWS","COLUMN_NAME","COMMENTS","DATA_TYPE","DATA_LENGTH"
"FLOWS_FILES","WWV_FLOW_FILE_OBJECTS$","General file repository table for all flows applications, used to store SQL Scripts, BLOBs, etc.","0","ID","","NUMBER","22"
"FLOWS_FILES","WWV_FLOW_FILE_OBJECTS$","General file repository table for all flows applications, used to store SQL Scripts, BLOBs, etc.","0","FLOW_ID","","NUMBER","22"
"FLOWS_FILES","WWV_FLOW_FILE_OBJECTS$","General file repository table for all flows applications, used to store SQL Scripts, BLOBs, etc.","0","NAME","","VARCHAR2","90"
"FLOWS_FILES","WWV_FLOW_FILE_OBJECTS$","General file repository table for all flows applications, used to store SQL Scripts, BLOBs, etc.","0","PATHID","","NUMBER","22"
"FLOWS_FILES","WWV_FLOW_FILE_OBJECTS$","General file repository table for all flows applications, used to store SQL Scripts, BLOBs, etc.","0","FILENAME","","VARCHAR2","400"
"FLOWS_FILES","WWV_FLOW_FILE_OBJECTS$","General file repository table for all flows applications, used to store SQL Scripts, BLOBs, etc.","0","TITLE","","VARCHAR2","255"
"FLOWS_FILES","WWV_FLOW_FILE_OBJECTS$","General file repository table for all flows applications, used to store SQL Scripts, BLOBs, etc.","0","MIME_TYPE","","VARCHAR2","48"
"FLOWS_FILES","WWV_FLOW_FILE_OBJECTS$","General file repository table for all flows applications, used to store SQL Scripts, BLOBs, etc.","0","DOC_SIZE","","NUMBER","22"
"FLOWS_FILES","WWV_FLOW_FILE_OBJECTS$","General file repository table for all flows applications, used to store SQL Scripts, BLOBs, etc.","0","DAD_CHARSET","","VARCHAR2","128"
"FLOWS_FILES","WWV_FLOW_FILE_OBJECTS$","General file repository table for all flows applications, used to store SQL Scripts, BLOBs, etc.","0","CREATED_BY","","VARCHAR2","255"
"FLOWS_FILES","WWV_FLOW_FILE_OBJECTS$","General file repository table for all flows applications, used to store SQL Scripts, BLOBs, etc.","0","CREATED_ON","","DATE","7"
"FLOWS_FILES","WWV_FLOW_FILE_OBJECTS$","General file repository table for all flows applications, used to store SQL Scripts, BLOBs, etc.","0","UPDATED_BY","","VARCHAR2","255"
"FLOWS_FILES","WWV_FLOW_FILE_OBJECTS$","General file repository table for all flows applications, used to store SQL Scripts, BLOBs, etc.","0","UPDATED_ON","","DATE","7"
"FLOWS_FILES","WWV_FLOW_FILE_OBJECTS$","General file repository table for all flows applications, used to store SQL Scripts, BLOBs, etc.","0","DELETED_AS_OF","","DATE","7"
"FLOWS_FILES","WWV_FLOW_FILE_OBJECTS$","General file repository table for all flows applications, used to store SQL Scripts, BLOBs, etc.","0","LAST_UPDATED","","DATE","7"
"FLOWS_FILES","WWV_FLOW_FILE_OBJECTS$","General file repository table for all flows applications, used to store SQL Scripts, BLOBs, etc.","0","CONTENT_TYPE","","VARCHAR2","128"
